Subject	Age	Gender	Scolarity	Handedness	Session	Stimulus_Type	Ita_Word	Eng_Word	Accuracy	RTs
1	22	male	16	right	1	Word	SALUTARE	greet	1	661
1	22	male	16	right	1	Word	TRIONFANTE	triumphant	1	635
1	22	male	16	right	1	Word	BICICLETTA	bicycle	1	545
1	22	male	16	right	1	Word	DROGATO	addict	1	551
1	22	male	16	right	1	Word	PAZIENTE	patient	1	521
1	22	male	16	right	1	Pseudoword	SPEPITA		1	840
1	22	male	16	right	1	Pseudoword	RIFONFO		1	610
1	22	male	16	right	1	Pseudoword	REVA		1	538
1	22	male	16	right	1	Word	TORTURA	torture	1	709
1	22	male	16	right	1	Pseudoword	BARVOCCIO		1	805
1	22	male	16	right	1	Word	AMBULANZA	ambulance	1	623
1	22	male	16	right	1	Pseudoword	ZERMOLE		1	814
1	22	male	16	right	1	Word	AGILITÀ	agility	1	608
1	22	male	16	right	1	Word	PROMOZIONE	promotion	1	880
1	22	male	16	right	1	Pseudoword	PLAMMIRE		1	821
1	22	male	16	right	1	Word	ASCENSORE	elevator	1	575
1	22	male	16	right	1	Pseudoword	ROSTRISUGO		1	689
1	22	male	16	right	1	Pseudoword	RENSEGGERE		1	1038
1	22	male	16	right	1	Word	BLU	blue	1	547
1	22	male	16	right	1	Word	PALAZZO	palace	1	543
1	22	male	16	right	1	Word	APPENDIABITI	clothes_hanger	1	792
1	22	male	16	right	1	Word	ALLEGRO	merry	1	847
1	22	male	16	right	1	Pseudoword	EMITA		1	723
1	22	male	16	right	1	Word	TAGLIO	cut	1	926
1	22	male	16	right	1	Word	QUERCIA	oak	1	583
1	22	male	16	right	1	Pseudoword	PRICODOLE		1	669
1	22	male	16	right	1	Word	GHIGLIOTTINA	guillotine	1	974
1	22	male	16	right	1	Pseudoword	TROCINISO		1	736
1	22	male	16	right	1	Word	GATTINO	kitten	1	679
1	22	male	16	right	1	Word	IDOLO	idol	1	808
1	22	male	16	right	1	Word	CORAGGIOSO	brave	1	598
1	22	male	16	right	1	Pseudoword	SUSTE		1	622
1	22	male	16	right	1	Pseudoword	RALLINE		1	596
1	22	male	16	right	1	Pseudoword	CALIRATUMA		1	663
1	22	male	16	right	1	Pseudoword	VECERALDI		1	589
1	22	male	16	right	1	Pseudoword	FOMARLI		1	1453
1	22	male	16	right	1	Word	LATTE	milk	1	666
1	22	male	16	right	1	Word	SESSO	sex	1	552
1	22	male	16	right	1	Pseudoword	PESSA		1	624
1	22	male	16	right	1	Word	PASTICCIO	pie	1	821
1	22	male	16	right	1	Pseudoword	STRODA		1	680
1	22	male	16	right	1	Word	FAVORE	favor	1	1140
1	22	male	16	right	1	Pseudoword	PAMPILOSI		1	801
1	22	male	16	right	1	Word	PALLOTTOLA	bullet	1	806
1	22	male	16	right	1	Pseudoword	BARTELLO		1	1666
1	22	male	16	right	1	Word	RIGHELLO	ruler	1	787
1	22	male	16	right	1	Pseudoword	EMABABI		1	785
1	22	male	16	right	1	Pseudoword	GARI		1	634
1	22	male	16	right	1	Pseudoword	AGGOLLICHE		1	672
1	22	male	16	right	1	Pseudoword	GREVA		1	619
1	22	male	16	right	1	Pseudoword	PROCHEZZONO		1	919
1	22	male	16	right	1	Word	ASSICURARE	secure	0	896
1	22	male	16	right	1	Pseudoword	PUDANNANO		1	671
1	22	male	16	right	1	Pseudoword	SORTELVA		1	769
1	22	male	16	right	1	Word	MANTENIMENTO	alimony	1	957
1	22	male	16	right	1	Pseudoword	LIRI		1	703
1	22	male	16	right	1	Pseudoword	DRANENETORE		1	971
1	22	male	16	right	1	Word	CRANIO	skull	1	1128
1	22	male	16	right	1	Pseudoword	RIMINCERE		1	953
1	22	male	16	right	1	Pseudoword	FRERANCANO		1	694
1	22	male	16	right	1	Pseudoword	COSCIRE		1	664
1	22	male	16	right	1	Word	DITO	finger	1	701
1	22	male	16	right	1	Pseudoword	MUI		1	586
1	22	male	16	right	1	Pseudoword	SERGE		1	796
1	22	male	16	right	1	Pseudoword	TOBBIRETE		1	768
1	22	male	16	right	1	Word	SODDISFATTO	satisfied	1	550
1	22	male	16	right	1	Pseudoword	CUPATO		1	595
1	22	male	16	right	1	Pseudoword	STINUI		1	706
1	22	male	16	right	1	Word	BARA	coffin	1	760
1	22	male	16	right	1	Word	SPOSA	bride	1	541
1	22	male	16	right	1	Pseudoword	FIANVANERTA		1	863
1	22	male	16	right	1	Word	GUSTO	taste	1	600
1	22	male	16	right	1	Pseudoword	SMEU		1	500
1	22	male	16	right	1	Word	INDIGNAZIONE	outrage	1	558
1	22	male	16	right	1	Pseudoword	ROSERE		1	559
1	22	male	16	right	1	Pseudoword	MOLATICCIO		1	649
1	22	male	16	right	1	Pseudoword	DROSSI		1	600
1	22	male	16	right	1	Word	ORGOGLIOSO	proud	1	553
1	22	male	16	right	1	Word	FEMMINUCCIA	sissy	1	586
1	22	male	16	right	1	Word	ESTERNO	outdoors	1	506
1	22	male	16	right	1	Pseudoword	SCULA		1	638
1	22	male	16	right	1	Pseudoword	INGECCENTE		1	917
1	22	male	16	right	1	Pseudoword	ELOLLERO		1	587
1	22	male	16	right	1	Word	RISPETTO	respect	1	933
1	22	male	16	right	1	Word	LEADER	leader	1	1215
1	22	male	16	right	1	Word	LEALE	loyal	1	655
1	22	male	16	right	1	Word	MIGLIORARE	improve	1	600
1	22	male	16	right	1	Pseudoword	BESOIO		1	641
1	22	male	16	right	1	Pseudoword	DASTOLLO		1	662
1	22	male	16	right	1	Pseudoword	TASENTA		1	874
1	22	male	16	right	1	Word	VANTAGGIO	advantage	1	901
1	22	male	16	right	1	Pseudoword	TISUTTE		1	576
1	22	male	16	right	1	Pseudoword	SESSENO		1	632
1	22	male	16	right	1	Pseudoword	IGANCANDO		1	774
1	22	male	16	right	1	Word	OCEANO	ocean	1	590
1	22	male	16	right	1	Pseudoword	FIANI		1	641
1	22	male	16	right	1	Word	SCIARPA	scarf	0	764
