Subject	Age	Gender	Scolarity	Handedness	Session	Ita_Word	Eng_Word	Accuracy	RTs
2	21	female	13	left	1	INSALATA	salad	1	493
2	21	female	13	left	1	CANDELABRO	candelabrum	1	456
2	21	female	13	left	1	DEFORME	deformed	1	456
2	21	female	13	left	1	CARABINA	rifle	1	486
2	21	female	13	left	1	MERCATO	market	1	409
2	21	female	13	left	1	SCIOCCHEZZA	nonsense	1	424
2	21	female	13	left	1	COMPUTER	computer	1	457
2	21	female	13	left	1	SOLENNE	solemn	1	412
2	21	female	13	left	1	INDIGNAZIONE	outrage	1	467
2	21	female	13	left	1	ATLETICA	athletics	1	432
2	21	female	13	left	1	NUVOLOSO	overcast	1	431
2	21	female	13	left	1	ARRABBIATO	angry	1	432
2	21	female	13	left	1	SOGNO	dream	1	446
2	21	female	13	left	1	STUFA	stove	1	438
2	21	female	13	left	1	NOTIZIE	news	1	456
2	21	female	13	left	1	MANO	hand	1	447
2	21	female	13	left	1	GIALLO	yellow	1	470
2	21	female	13	left	1	CROCIFIGGERE	crucify	1	554
2	21	female	13	left	1	FALCO	hawk	1	522
2	21	female	13	left	1	AUTUNNO	autumn	1	422
2	21	female	13	left	1	CORAGGIOSO	brave	1	417
2	21	female	13	left	1	COLOMBO	dove	1	430
2	21	female	13	left	1	UTENSILE	utensil	1	444
2	21	female	13	left	1	INSOLENTE	insolent	1	498
2	21	female	13	left	1	PESTE	pest	1	476
2	21	female	13	left	1	VOMITO	vomit	1	513
2	21	female	13	left	1	STUPIDO	stupid	1	430
2	21	female	13	left	1	RISPOSTA	answer	1	419
2	21	female	13	left	1	ALIENO	alien	1	493
2	21	female	13	left	1	INCHIOSTRO	ink	1	316
2	21	female	13	left	1	CONTENUTO	contents	1	500
2	21	female	13	left	1	MUSEO	museum	1	461
2	21	female	13	left	1	VIVACE	lively	1	492
2	21	female	13	left	1	TRAUMA	trauma	1	482
2	21	female	13	left	1	PRECIPIZIO	cliff	1	506
2	21	female	13	left	1	PRATERIA	prairie	1	536
2	21	female	13	left	1	CANZONE	song	1	438
2	21	female	13	left	1	CODARDO	coward	1	446
2	21	female	13	left	1	RIPARATO	sheltered	1	433
2	21	female	13	left	1	BACIO	kiss	1	480
2	21	female	13	left	1	NODO	knot	1	436
2	21	female	13	left	1	FOLLE	mad	1	487
2	21	female	13	left	1	PASTELLO	pastel	1	476
2	21	female	13	left	1	BELLEZZA	beauty	1	524
2	21	female	13	left	1	FAMELICO	starving	1	539
2	21	female	13	left	1	BARCA	sailboat	1	489
2	21	female	13	left	1	TABACCO	tobacco	1	521
2	21	female	13	left	1	PENNA	pen	1	501
2	21	female	13	left	1	CHIESA	church	1	469
2	21	female	13	left	1	BURRO	butter	1	505
2	21	female	13	left	1	ZAFFIRO	sapphire	1	574
2	21	female	13	left	1	PECCATO	sin	1	477
2	21	female	13	left	1	ODIOSO	obnoxious	1	475
2	21	female	13	left	1	PALUDE	swamp	1	483
2	21	female	13	left	1	ISTRUZIONE	education	1	563
2	21	female	13	left	1	DISTACCATO	detached	1	540
2	21	female	13	left	1	ALCOLISTA	alcoholic	1	437
2	21	female	13	left	1	TEMPESTA	storm	1	495
2	21	female	13	left	1	ERBA	grass	1	478
2	21	female	13	left	1	GHIACCIAIO	glacier	1	563
2	21	female	13	left	1	SPIAGGIA	beach	1	448
2	21	female	13	left	1	CENA	dinner	1	292
2	21	female	13	left	1	ANGOSCIATO	anguished	1	395
2	21	female	13	left	1	VIAGGIARE	travel	1	465
2	21	female	13	left	1	SORPRESA	treat	1	413
2	21	female	13	left	1	QUARTO	quart	1	418
2	21	female	13	left	1	RISPETTOSO	respectful	1	400
2	21	female	13	left	1	DIPLOMA	diploma	1	447
2	21	female	13	left	1	DISASTRO	disaster	1	438
2	21	female	13	left	1	PERSONA	person	1	466
2	21	female	13	left	1	SCIOCCO	silly	1	373
2	21	female	13	left	1	AVIDITÀ	greed	1	413
2	21	female	13	left	1	SPAZIO	space	1	405
2	21	female	13	left	1	ASSICURARE	secure	1	426
2	21	female	13	left	1	QUERCIA	oak	1	421
2	21	female	13	left	1	OSTACOLARE	hinder	1	457
2	21	female	13	left	1	SPERANZA	hope	1	418
2	21	female	13	left	1	PIOGGIA	rain	1	437
2	21	female	13	left	1	AMBIZIONE	ambition	1	451
2	21	female	13	left	1	ABITUDINI	habit	1	304
2	21	female	13	left	1	BLATTA	cockroach	1	517
2	21	female	13	left	1	VILLAGGIO	village	1	573
2	21	female	13	left	1	CRANIO	skull	1	442
2	21	female	13	left	1	HANDICAP	handicap	1	489
2	21	female	13	left	1	MACELLO	slaughter	1	446
2	21	female	13	left	1	RICCHEZZE	riches	1	446
2	21	female	13	left	1	MACCHINA	machine	1	417
2	21	female	13	left	1	TORNADO	tornado	1	464
2	21	female	13	left	1	SESSO	sex	1	435
2	21	female	13	left	1	COMODINO	bedside_table	1	313
2	21	female	13	left	1	LENTO	slow	1	556
2	21	female	13	left	1	ECCEZIONALE	outstanding	1	510
2	21	female	13	left	1	NATURA	nature	1	451
2	21	female	13	left	1	SALVARE	save	1	512
2	21	female	13	left	1	COLTELLO	knife	1	271
2	21	female	13	left	1	PAURA	fear	1	268
2	21	female	13	left	1	DIVERTIMENTO	fun	1	484
2	21	female	13	left	1	MASSACRO	massacre	1	503
2	21	female	13	left	1	ACCOMODANTE	easygoing	1	462
2	21	female	13	left	1	RAGNO	spider	1	289
2	21	female	13	left	1	VELOCE	quick	1	448
2	21	female	13	left	1	DEPRESSO	depressed	1	511
2	21	female	13	left	1	CIECO	blind	1	247
2	21	female	13	left	1	VAMPIRO	vampire	1	311
2	21	female	13	left	1	MANTENIMENTO	alimony	1	527
2	21	female	13	left	1	ULCERA	ulcer	1	542
2	21	female	13	left	1	NOIA	ennui	1	495
2	21	female	13	left	1	INVESTIRE	invest	1	328
2	21	female	13	left	1	LIBERTÀ	freedom	1	520
2	21	female	13	left	1	DETESTARE	detest	1	467
2	21	female	13	left	1	DURO	hard	1	512
2	21	female	13	left	1	NATALE	christmas	1	524
2	21	female	13	left	1	ULIVO	olive_tree	1	524
2	21	female	13	left	1	BUONO	good	1	524
2	21	female	13	left	1	NARCOTICO	narcotic	1	567
2	21	female	13	left	1	SCHIVO	shy	1	458
2	21	female	13	left	1	VERDE	green	1	493
2	21	female	13	left	1	VANDALO	vandal	1	561
2	21	female	13	left	1	YACHT	yacht	1	602
2	21	female	13	left	1	METODO	method	1	477
2	21	female	13	left	1	RISPETTO	respect	1	427
2	21	female	13	left	1	ANGELO	angel	1	485
2	21	female	13	left	1	URAGANO	hurricane	1	496
2	21	female	13	left	1	NASO	nose	1	590
2	21	female	13	left	1	SCARPA	shoe	1	356
2	21	female	13	left	1	CUCCHIAIO	spoon	1	516
2	21	female	13	left	1	MUSICA	music	1	523
2	21	female	13	left	1	T-SHIRT	t-shirt	1	599
2	21	female	13	left	1	DISTURBARE	disturb	1	578
2	21	female	13	left	1	GRAVE	severe	1	334
2	21	female	13	left	1	FRIGIDO	frigid	1	516
2	21	female	13	left	1	VINCERE	win	1	514
2	21	female	13	left	1	VOGLIA	desire	1	520
2	21	female	13	left	1	MATTO	madman	1	533
2	21	female	13	left	1	BESTEMMIA	blasphemy	1	566
2	21	female	13	left	1	FRAGRANZA	fragrance	1	547
2	21	female	13	left	1	PUZZA	stink	1	492
2	21	female	13	left	1	LETAME	manure	1	489
2	21	female	13	left	1	FORCHETTA	fork	1	498
2	21	female	13	left	1	SCRIVANIA	desk	1	319
2	21	female	13	left	1	INSEGNANTE	teacher	1	504
2	21	female	13	left	1	CANCRENA	gangrene	1	562
2	21	female	13	left	1	DEBITO	debt	1	514
2	21	female	13	left	1	PRIVACY	privacy	1	488
2	21	female	13	left	1	LUSSO	luxury	1	351
2	21	female	13	left	1	OROLOGIO	clock	1	490
2	21	female	13	left	1	INFATUAZIONE	infatuation	1	215
2	21	female	13	left	1	ARTE	art	1	477
2	21	female	13	left	1	SIFILIDE	syphilis	1	323
2	21	female	13	left	1	SPOSO	spouse	1	434
2	21	female	13	left	1	CASINÒ	casino	1	478
2	21	female	13	left	1	RISATA	laughter	1	318
2	21	female	13	left	1	QUADRO	picture	1	430
2	21	female	13	left	1	SALVATORE	savior	1	435
2	21	female	13	left	1	SCHERZO	joke	1	414
2	21	female	13	left	1	ONESTO	honest	1	431
2	21	female	13	left	1	VIRTÙ	virtue	1	326
2	21	female	13	left	1	PRESSIONE	pressure	1	509
2	21	female	13	left	1	PIANTA	plant	1	494
2	21	female	13	left	1	SCOOTER	scooter	1	427
2	21	female	13	left	1	MANGIARE	eat	1	444
2	21	female	13	left	1	SUORA	nun	1	422
2	21	female	13	left	1	APE	bees	1	463
2	21	female	13	left	1	STATUA	statue	1	465
2	21	female	13	left	1	LISCIO	smooth	1	544
2	21	female	13	left	1	CICLONE	cyclone	1	525
2	21	female	13	left	1	CADUTA	fall	1	415
2	21	female	13	left	1	RANA	frog	1	404
2	21	female	13	left	1	MAL_DI_MARE	seasick	1	567
2	21	female	13	left	1	PALETTA	dustpan	1	467
2	21	female	13	left	1	GAMBA	leg	1	276
2	21	female	13	left	1	ECCITATO	aroused	1	471
2	21	female	13	left	1	FIDANZATO	sweetheart	1	533
2	21	female	13	left	1	MORTO	dead	1	567
2	21	female	13	left	1	LIBERO	free	1	479
2	21	female	13	left	1	SCIARPA	scarf	1	333
2	21	female	13	left	1	VETRO	glass	1	496
2	21	female	13	left	1	AUTOMOBILE	car	1	435
2	21	female	13	left	1	VILLETTA	cottage	1	539
2	21	female	13	left	1	DISTRUZIONE	destruction	1	514
2	21	female	13	left	1	FECCIA	scum	1	500
2	21	female	13	left	1	IDOLO	idol	1	452
2	21	female	13	left	1	MIRACOLO	miracle	1	510
2	21	female	13	left	1	ADORABILE	adorable	1	523
2	21	female	13	left	1	AVVENTURA	adventure	1	422
2	21	female	13	left	1	PUNTURA	prick	1	163
2	21	female	13	left	1	TAVOLO	table	1	544
2	21	female	13	left	1	NASCONDERE	hide	1	424
2	21	female	13	left	1	PROBLEMA	trouble	1	490
2	21	female	13	left	1	INUTILE	useless	1	473
2	21	female	13	left	1	ELETTRODOMESTICO	appliance	1	518
2	21	female	13	left	1	MORBILLO	measles	1	469
2	21	female	13	left	1	SPIRITO	spirit	1	437
2	21	female	13	left	1	TERRIFICANTE	terrible	1	459
2	21	female	13	left	1	GIACCA	jacket	1	616
2	21	female	13	left	1	SCULACCIATA	spanking	1	416
2	21	female	13	left	1	SETA	silk	1	494
2	21	female	13	left	1	FORTE	strong	1	500
2	21	female	13	left	1	LUNATICO	moody	1	457
2	21	female	13	left	1	PASSIONE	passion	1	428
2	21	female	13	left	1	PIAZZA	square	1	268
2	21	female	13	left	1	DIAVOLO	devil	1	148
2	21	female	13	left	1	MOGLIE	wife	1	458
2	21	female	13	left	1	PADELLA	pan	1	454
2	21	female	13	left	1	GLORIA	glory	1	100
2	21	female	13	left	1	RAGAZZO	boy	1	194
2	21	female	13	left	1	ATTRAENTE	handsome	1	90
2	21	female	13	left	1	ABITO	dress	1	140
2	21	female	13	left	1	PARADISO	paradise	1	461
2	21	female	13	left	1	GIARRETTIERA	garter	1	526
2	21	female	13	left	1	CRIMINALE	criminal	1	448
2	21	female	13	left	1	BESTIA	beast	1	481
2	21	female	13	left	1	INONDAZIONE	flood	1	517
2	21	female	13	left	1	AFFETTO	affection	1	451
2	21	female	13	left	1	SPECCHIO	mirror	1	279
2	21	female	13	left	1	PANTALONE	trouser	1	473
2	21	female	13	left	1	RESPINTO	rejected	1	443
2	21	female	13	left	1	RICONOSCENTE	thankful	1	437
2	21	female	13	left	1	ABBRACCIO	hug	1	475
2	21	female	13	left	1	PUNGENTE	pungent	1	460
2	21	female	13	left	1	TEMPO	time	1	261
2	21	female	13	left	1	STRESSATO	distressed	1	474
2	21	female	13	left	1	CANE	dog	1	463
2	21	female	13	left	1	POLTRONA	armchair	1	461
2	21	female	13	left	1	CAREZZA	caress	1	439
