sbj	session	stimulation	list	picturenr	picture	distractor	condition	response	accuracy	errorType	logfile	rt
1	1	pMTG	1	1	Zug.png	Tomate	u	Zug	1	NA	logfiles-001-20180618143231	0.729242630385487
1	1	pMTG	1	2	Hantel.png	Ball	r	Hantel	1	NA	logfiles-002-20180618143237	0.740198848770277
1	1	pMTG	1	3	Schraube.png	Brokkoli	u	Schraube	1	NA	logfiles-003-20180618143243	0.945262913564376
1	1	pMTG	1	4	Nase.png	Bohrer	u	Nase	1	NA	logfiles-004-20180618143249	0.763003056294981
1	1	pMTG	1	5	Spitzer.png	Lineal	r	Spitzer	1	NA	logfiles-005-20180618143255	0.957071394214251
1	1	pMTG	1	6	Kleid.png	Tisch	u	Kleid	1	NA	logfiles-006-20180618143301	0.740399583256726
1	1	pMTG	1	7	Klavier.png	Trompete	r	0	0	3	logfiles-007-20180618143307	0
1	1	pMTG	1	8	Delphin.png	Hirsch	r	Delphin	1	NA	logfiles-008-20180618143314	0.791547423567128
1	1	pMTG	1	9	Schlaeger.png	Hantel	r	0	0	3	logfiles-009-20180618143320	0
1	1	pMTG	1	10	Stuhl.png	Messer	u	Stuhl	1	NA	logfiles-010-20180618143326	0.700824964906597
1	1	pMTG	1	11	Birne.png	Kiwi	r	Birne	1	NA	logfiles-011-20180618143332	1.08858743497398
1	1	pMTG	1	12	Ohr.png	Ohr	t	Ohr	1	NA	logfiles-012-20180618143338	0.865815066767447
1	1	pMTG	1	13	Auto.png	Banane	u	Auto	1	NA	logfiles-013-20180618143344	0.792119641507396
1	1	pMTG	1	14	Gabel.png	Nase	u	Gabel	1	NA	logfiles-014-20180618143350	0.758903318903319
1	1	pMTG	1	15	Fahrrad.png	Schaf	u	Fahrrad	1	NA	logfiles-015-20180618143356	0.808205257411606
1	1	pMTG	1	16	Fernseher.png	Fernseher	t	Fernseher	1	NA	logfiles-016-20180618143402	0.843275888133031
1	1	pMTG	1	17	Spitzer.png	Spitzer	t	Spitzer	1	NA	logfiles-017-20180618143408	0.73424684159378
1	1	pMTG	1	18	Bluse.png	Hose	r	Bluse	1	NA	logfiles-018-20180618143414	1.08236734693877
1	1	pMTG	1	19	Sessel.png	Bett	r	Sessel	1	NA	logfiles-019-20180618143420	0.990474218672976
1	1	pMTG	1	20	Fabrik.png	Kleid	u	Fabrik	1	NA	logfiles-020-20180618143426	0.797389770723104
1	1	pMTG	1	21	Lineal.png	Lineal	t	Lineal	1	NA	logfiles-021-20180618143432	0.683833279343483
1	1	pMTG	1	22	Zug.png	Zug	t	Zug	1	NA	logfiles-022-20180618143438	0.711919434440442
1	1	pMTG	1	23	Wolf.png	Delphin	r	Wolf	1	NA	logfiles-023-20180618143445	0.814334554334554
1	1	pMTG	1	24	Gabel.png	Pfanne	r	Gabel	1	NA	logfiles-024-20180618143451	0.740725623582766
1	1	pMTG	1	25	Kiwi.png	Apfel	r	Kiwi	1	NA	logfiles-025-20180618143457	0.763352520495377
1	1	pMTG	1	26	Fernseher.png	Roller	u	Fernseher	1	NA	logfiles-026-20180618143503	0.996521373981691
1	1	pMTG	1	27	Bein.png	Kommode	u	Bein	1	NA	logfiles-027-20180618143509	0.842349821284446
1	1	pMTG	1	28	Birne.png	Birne	t	Birne	1	NA	logfiles-028-20180618143515	0.746390022675737
1	1	pMTG	1	29	Nase.png	Mund	r	Nase	1	NA	logfiles-029-20180618143521	0.723492063492063
1	1	pMTG	1	30	Bohrer.png	Schraube	r	0	0	3	logfiles-030-20180618143527	0
