noun	adj	Meaningful	Subject	order	condition	resp_resp	accuracy	RTs	NA_ID	TMS_Timing	DistSim	surprisal	noun_comp	adj_comp
albicocca	secca	1	1	68	cedx	1	1	346,40918	albicoccasecca	noun	0,281248	1,802891628	0,862305	0,72847
albicocca	viola	0	1	17	cz	0	1	482,38247	albicoccaviola	noun	0,472329	NA	NA	NA
alghe	fossili	0	1	48	cz	0	1	878,54665	alghefossili	noun	0,291178	NA	NA	NA
alghe	marine	1	1	8	cz	1	1	369,72052	alghemarine	noun	0,391601	1,497166264	0,874111	0,789236
animale	adolescente	0	1	7	cz	0	1	513,63469	animaleadolescente	noun	0,135533	NA	NA	NA
animale	adulto	1	1	50	cedx	0	0	782,58626	animaleadulto	noun	0,381247	3,114697454	0,850281	0,810744
arancia	salata	0	1	37	cz	0	1	641,64817	aranciasalata	noun	0,123622	NA	NA	NA
arma	bianca	1	1	31	cz	1	1	557,74512	armabianca	noun	0,063105	2,486266785	0,783976	0,669027
arma	nera	0	1	10	cz	1	0	439,74947	armanera	noun	0,00719	NA	NA	NA
arma	perdente	0	1	54	cz	1	0	947,96043	armaperdente	noun	0,122469	NA	NA	NA
arma	vincente	1	1	13	cz	1	1	541,42091	armavincente	noun	0,180489	2,417879548	0,777351	0,759039
automobile	agonistica	0	1	66	cz	0	1	1149,72685	automobileagonistica	noun	0,173177	NA	NA	NA
automobile	sportiva	1	1	50	cz	1	1	878,79731	automobilesportiva	noun	0,241369	3,143027818	0,794132	0,781456
avvocato	attaccante	0	1	15	cz	0	1	754,23895	avvocatoattaccante	noun	0,240921	NA	NA	NA
avvocato	difensore	1	1	8	cedx	1	1	698,75403	avvocatodifensore	noun	0,556835	1,903483344	0,863248	0,899969
bacio	distaccato	0	1	38	cedx	0	1	569,61702	baciodistaccato	noun	0,016741	NA	NA	NA
bacio	passionale	1	1	31	cedx	1	1	488,99141	baciopassionale	noun	0,278426	3,270144858	0,788474	0,810279
banana	rosa	0	1	38	cz	0	1	516,47961	bananarosa	noun	0,185339	NA	NA	NA
bandiera	bianca	1	1	30	cedx	1	1	622,85032	bandierabianca	noun	0,315268	1,719294001	0,86767	0,745336
barba	lunga	1	1	21	cz	1	1	551,38516	barbalunga	noun	0,188404	1,646081813	0,836519	0,695729
bistecca	bassa	0	1	14	cz	0	1	396,81901	bisteccabassa	noun	0,059595	NA	NA	NA
bottiglia	ocra	0	1	5	cedx	0	1	547,2213	bottigliaocra	noun	0,146795	NA	NA	NA
bottiglia	verde	1	1	33	cedx	1	1	525,89554	bottigliaverde	noun	0,101314	3,189898461	0,824763	0,646129
braccio	armato	1	1	65	cedx	1	1	502,82452	braccioarmato	noun	0,247112	1,970381318	0,781877	0,797309
braccio	calmo	0	1	70	cedx	0	1	625,88527	bracciocalmo	noun	0,177834	NA	NA	NA
braccio	inerme	0	1	55	cz	1	0	946,04335	braccioinerme	noun	0,273296	NA	NA	NA
brezza	diurna	0	1	37	cedx	0	1	665,4234	brezzadiurna	noun	0,31246	NA	NA	NA
brezza	notturna	1	1	2	cz	1	1	511,42792	brezzanotturna	noun	0,185744	1,987930958	0,844817	0,682665
cane	fedele	1	1	9	cz	1	1	424,31587	canefedele	noun	0,121937	3,12177003	0,77227	0,724722
cane	infido	0	1	3	cz	0	1	608,94122	caneinfido	noun	0,206082	NA	NA	NA
carota	grassa	0	1	19	cedx	0	1	632,46872	carotagrassa	noun	0,178164	NA	NA	NA
casco	beige	0	1	5	cz	1	0	756,04525	cascobeige	noun	0,2154	NA	NA	NA
cavallo	pazzo	1	1	22	cz	1	1	478,95445	cavallopazzo	noun	0,280735	2,396594899	0,802758	0,797686
cavallo	razionale	0	1	49	cedx	0	1	603,56875	cavallorazionale	noun	0,096536	NA	NA	NA
caverna	buia	1	1	20	cedx	1	1	554,67573	cavernabuia	noun	0,452417	2,296283561	0,870133	0,833161
cenere	gialla	0	1	42	cz	0	1	667,47492	ceneregialla	noun	0,177565	NA	NA	NA
cuore	affollato	0	1	1	cz	0	1	427,78398	cuoreaffollato	noun	0,05298	NA	NA	NA
cuore	aperto	1	1	12	cedx	1	1	597,15627	cuoreaperto	noun	0,132319	2,561050708	0,742399	0,762301
cuore	logico	0	1	14	cedx	0	1	981,25851	cuorelogico	noun	0,050038	NA	NA	NA
cuore	matto	1	1	58	cedx	1	1	555,50929	cuorematto	noun	0,047218	3,438634502	0,61746	0,81488
cuore	solitario	1	1	12	cz	1	1	692,1043	cuoresolitario	noun	0,148801	2,820027958	0,708112	0,803607
denaro	difficile	0	1	4	cedx	0	1	882,56336	denarodifficile	noun	0,046268	NA	NA	NA
denaro	facile	1	1	57	cz	1	1	628,82405	denarofacile	noun	0,136871	2,799313193	0,817104	0,682903
denaro	sporco	1	1	2	cedx	1	1	380,44759	denarosporco	noun	0,357089	1,820140731	0,818283	0,829117
elefante	africano	1	1	21	cedx	1	1	647,29421	elefanteafricano	noun	0,382056	1,878454206	0,853199	0,807987
elefante	europeo	0	1	18	cz	0	1	452,48125	elefanteeuropeo	noun	0,121022	NA	NA	NA
erba	rossa	0	1	23	cedx	0	1	438,23286	erbarossa	noun	0,158657	NA	NA	NA
erba	secca	1	1	11	cz	1	1	723,32776	erbasecca	noun	0,190331	2,273163785	0,827444	0,708771
famiglia	semplice	1	1	24	cz	1	1	865,7381	famigliasemplice	noun	-0,05081	4,177699425	0,734013	0,640959
ferita	aperta	1	1	60	cz	1	1	956,54608	feritaaperta	noun	0,201439	1,964252989	0,839596	0,701203
ferita	otturata	0	1	64	cz	0	1	939,47234	feritaotturata	noun	0,308061	NA	NA	NA
ferro	caldo	1	1	47	cedx	1	1	541,03294	ferrocaldo	noun	0,249321	2,92151307	0,814626	0,764775
fiamma	pigra	0	1	64	cedx	0	1	645,46542	fiammapigra	noun	0,045414	NA	NA	NA
fiamma	viva	1	1	43	cedx	1	1	445,32483	fiammaviva	noun	0,216274	2,279429335	0,853498	0,693353
folla	rinsavita	0	1	18	cedx	0	1	722,49204	follarinsavita	noun	0,160667	NA	NA	NA
formaggio	fiacco	0	1	10	cedx	0	1	716,92722	formaggiofiacco	noun	0,076118	NA	NA	NA
formaggio	fresco	1	1	67	cedx	1	1	399,67363	formaggiofresco	noun	0,406516	1,605466861	0,87782	0,794474
fragola	fresca	1	1	25	cz	1	1	652,50514	fragolafresca	noun	0,282877	3,860637417	0,803578	0,798203
fragola	rancida	0	1	49	cz	0	1	911,48254	fragolarancida	noun	0,336059	NA	NA	NA
fumo	nero	1	1	57	cedx	1	1	625,40931	fumonero	noun	0,187792	1,934960346	0,8382	0,693067
fumo	pulito	0	1	54	cedx	0	1	1009,68768	fumopulito	noun	0,158131	NA	NA	NA
gallina	giovane	0	1	3	cedx	0	1	809,05234	gallinagiovane	noun	0,173204	NA	NA	NA
gallina	vecchia	1	1	11	cedx	1	1	844,37296	gallinavecchia	noun	0,236694	2,002513173	0,874646	0,678011
ghiaccio	snello	0	1	7	cedx	0	1	523,36344	ghiacciosnello	noun	0,039913	NA	NA	NA
gufo	muto	0	1	28	cedx	0	1	766,07167	gufomuto	noun	0,184299	NA	NA	NA
gufo	parlante	1	1	40	cedx	0	0	1521,79062	gufoparlante	noun	0,276014	3,04453976	0,775149	0,821188
inverno	lento	0	1	39	cz	1	0	883,78209	invernolento	noun	0,128872	NA	NA	NA
inverno	lungo	1	1	52	cz	1	1	1835,63574	invernolungo	noun	0,13534	2,869845258	0,818146	0,680448
investigatore	pubblico	0	1	59	cz	0	1	1043,01392	investigatorepubblico	noun	0,26436	NA	NA	NA
lago	maggiore	1	1	67	cz	1	1	579,80309	lagomaggiore	noun	0,077047	1,293199897	0,843189	0,600984
latte	diviso	0	1	44	cedx	0	1	582,73098	lattediviso	noun	0,060378	NA	NA	NA
latte	materno	1	1	58	cz	1	1	607,57303	lattematerno	noun	0,39702	1,646809708	0,836518	0,835019
latte	paterno	0	1	55	cedx	0	1	564,57581	lattepaterno	noun	0,030377	NA	NA	NA
letto	caldo	1	1	41	cedx	1	1	519,17995	lettocaldo	noun	0,178368	3,240072488	0,754475	0,780378
letto	temperato	0	1	34	cedx	0	1	723,40221	lettotemperato	noun	0,036329	NA	NA	NA
limone	blu	0	1	27	cz	0	1	430,71724	limoneblu	noun	0,262335	NA	NA	NA
limone	giallo	1	1	56	cedx	1	1	456,67243	limonegiallo	noun	0,276293	3,244636915	0,83999	0,753563
limone	rosso	0	1	26	cz	0	1	735,36993	limonerosso	noun	0,301269	NA	NA	NA
mela	gialla	1	1	29	cz	0	0	526,82275	melagialla	noun	0,251848	3,066270004	0,788762	0,793533
mela	nera	0	1	15	cedx	0	1	598,83826	melanera	noun	0,114461	NA	NA	NA
mela	rossa	1	1	25	cedx	1	1	569,72897	melarossa	noun	0,195855	2,63490624	0,764355	0,782011
melanzana	gialla	0	1	39	cedx	0	1	765,66044	melanzanagialla	noun	0,352686	NA	NA	NA
melanzana	viola	1	1	61	cz	1	1	554,54932	melanzanaviola	noun	0,211252	2,720737977	0,777986	0,778453
notte	opaca	0	1	42	cedx	0	1	845,27203	notteopaca	noun	0,067427	NA	NA	NA
notte	superficiale	0	1	17	cedx	0	1	516,27532	nottesuperficiale	noun	-0,01228	NA	NA	NA
oca	bianca	1	1	40	cz	1	1	477,29097	ocabianca	noun	0,271075	2,227993766	0,864455	0,71822
orso	affamato	1	1	35	cz	1	1	814,82786	orsoaffamato	noun	0,256477	3,131003459	0,801456	0,783603
orso	polare	1	1	29	cedx	1	1	578,68814	orsopolare	noun	0,262964	1,605958652	0,781128	0,807805
orso	sazio	0	1	23	cz	0	1	464,41622	orsosazio	noun	0,105814	NA	NA	NA
orso	tropicale	0	1	51	cedx	0	1	650,84208	orsotropicale	noun	0,186279	NA	NA	NA
pecora	nera	1	1	43	cz	1	1	501,3362	pecoranera	noun	0,269043	1,492089765	0,832878	0,757129
pelle	sensibile	1	1	6	cedx	1	1	457,38809	pellesensibile	noun	0,235845	2,607198634	0,820895	0,748574
peperone	cremisi	0	1	19	cz	0	1	615,39071	peperonecremisi	noun	0,22132	NA	NA	NA
peperone	giallo	1	1	62	cedx	1	1	913,85616	peperonegiallo	noun	0,407756	1,35019202	0,892293	0,776059
peperone	ocra	0	1	4	cz	0	1	948,51804	peperoneocra	noun	0,30173	NA	NA	NA
peperone	rosso	1	1	61	cedx	1	1	433,10924	peperonerosso	noun	0,411046	1,187366743	0,899929	0,76741
pera	corta	0	1	46	cz	0	1	633,02878	peracorta	noun	0,156699	NA	NA	NA
persona	aperta	1	1	36	cz	1	1	1114,04236	personaaperta	noun	0,016258	4,336303373	0,666357	0,756368
pianeta	blu	0	1	32	cedx	0	1	944,32128	pianetablu	noun	0,108379	NA	NA	NA
pianeta	rosso	1	1	30	cz	0	0	542,3139	pianetarosso	noun	0,133895	1,730210105	0,78321	0,721027
piccione	verde	0	1	26	cedx	0	1	502,47085	piccioneverde	noun	0,178005	NA	NA	NA
poltrona	piena	0	1	16	cedx	0	1	1352,2954	poltronapiena	noun	0,027325	NA	NA	NA
poltrona	vuota	1	1	45	cz	1	1	713,59363	poltronavuota	noun	0,234839	2,665926433	0,814744	0,754939
pomodoro	fresco	1	1	33	cz	1	1	694,49567	pomodorofresco	noun	0,365177	1,562698501	0,876171	0,76867
pomodoro	rancido	0	1	69	cz	0	1	2121,31346	pomodororancido	noun	0,329137	NA	NA	NA
principe	azzurro	1	1	63	cz	1	1	408,1055	principeazzurro	noun	0,294223	1,560258144	0,797356	0,811396
quercia	stretta	0	1	53	cedx	0	1	531,71465	querciastretta	noun	0,032943	NA	NA	NA
romanzo	giallo	1	1	47	cz	1	1	843,87932	romanzogiallo	noun	0,398377	2,184394274	0,854339	0,817044
sale	grosso	1	1	60	cedx	1	1	589,63472	salegrosso	noun	0,16393	2,21808096	0,817716	0,701884
sale	sottile	0	1	16	cz	0	1	688,92904	salesottile	noun	0,188835	NA	NA	NA
scatola	fatata	0	1	53	cz	0	1	1574,40261	scatolafatata	noun	0,198285	NA	NA	NA
scatola	magica	1	1	20	cz	1	1	436,05333	scatolamagica	noun	0,162758	2,136244802	0,773997	0,750721
scuola	materna	1	1	6	cz	1	1	395,427	scuolamaterna	noun	0,659003	1,757710446	0,886511	0,932234
scuola	paterna	0	1	46	cedx	0	1	543,65862	scuolapaterna	noun	0,281539	NA	NA	NA
