Pistole	Knarre
Handy	Telefon
Kröte	Auspuff
Posaune	Trommel
Perücke	Handy
Löffel	Pfeiler
Peitsche	Lautsprecher
Pferd	Tandem
Tröte	Kröte
Gürtel	Qualle
Atlas	Säge
Zwetschge	Telefon
Kuvert	Pfeiler
Rassel	Plakette
Pistole	Hemd
Mofa	Löffel
Peitsche	Geröll
Flyer	Tröte
Rotor	Saxophon
Lüftung	Ente
Atlas	Triangel
Triangel	Gewehr
Lüftung	Cello
Hemd	Kontrabass
Amsel	Cembalo
Pinzette	Gazelle
Geige	Zigarette
Krücke	Seil
Dynamit	Pullover
Gürtel	Zange
Skizze	Zwiebel
Henne	Xylophon
Krähe	Trompete
Taube	Balken
Tablett	Bär
Löwe	Hummel
Gürtel	Kapuze
Klarinette	Gewehr
Ananas	Moos
Spatz	Rinne
Zigarette	Marionette
Tablett	Skorpion
Pille	Gong
Gorilla	Banane
Pullover	Moos
Lautsprecher	Lawine
Hummel	Angel
Mofa	Lautsprecher
Waffel	Pinzette
Bumerang	Spatz
Serviette	Oktopus
Geschütz	Lupe
Kapuze	Spatz
Wasserfall	Papagei
Schaf	Pferd
Löffel	Pinsel
Kamm	Dolch
Moped	Trommel
Moped	Posaune
Böller	Elefant
Telefon	Häcksler
Cembalo	Vulkan
Kajak	Schabe
Mofa	Geröll
Rotor	Knarre
Kuvert	Pinsel
Schlagzeug	Amsel
Handy	Flyer
Tornado	Klavier
Kommode	Marionette
Seil	Tanne
Wasserfall	Otter
Tablett	Waffel
Turbine	Zigarette
Kuckuck	Schal
Triangel	Gorilla
Knopf	Tornado
Knarre	Moped
Schraube	Klarinette
Peitsche	Hemd
Tuba	Auspuff
Löffel	Pfosten
Krawatte	Chamäleon
Atlas	Rochen
Baby	Geschütz
Kapuze	Löffel
Nachtigall	Oktopus
Dusche	Böller
Auspuff	Känguruh
Handy	Auster
Amsel	Seife
Kuvert	Pfosten
Auspuff	Maske
Grille	Portrait
Paket	Seil
Affe	Kamm
Himbeere	Skulptur
Ferkel	Raupe
Klarinette	Gorilla
Geröll	Pinzette
Klavier	Rassel
Mixer	Bär
Geschütz	Krücke
Baby	Löwe
Bohrer	Schraube
Fön	Turbine
Bär	Atlas
Granate	Grille
Lupe	Perücke
Kröte	Marionette
Böller	Triebwerk
Mixer	Skorpion
Elch	Balken
Skizze	Piranha
Krawatte	Kuckuck
Himbeere	Lüftung
Ferkel	Moos
Fluss	Gebläse
Cembalo	Uhu
Lupe	Gitarre
Böller	Schimpanse
Hemd	Tuba
Spaten	Böller
Frisbee	Moped
Uhu	Tröte
Paket	Pille
Kartoffel	Lawine
Himbeere	Mast
Specht	Pinzette
Zigarette	Scheck
Banane	Rassel
Rabe	Granate
Geige	Pavian
Mofa	Hemd
Mixer	Krähe
Zigarette	Kajak
Dolch	Gebläse
Spritze	Pille
Pferd	Knopf
Pinsel	Dachs
Kapuze	Geröll
Baby	Rotkehlchen
Lautsprecher	Dusche
Hemd	Flinte
Spritze	Antilope
Geläut	Hummel
Uhu	Rabe
Mango	Känguruh
Ente	Auspuff
Zange	Elch
Mango	Maske
Spritze	Krawatte
Frosch	Affe
Wasserfall	Cello
Kamm	Ferkel
Dynamit	Giraffe
Flinte	Propeller
Tornado	Chamäleon
Mixer	Kleber
Auspuff	Kommode
